@relation chwilowki

@attribute status_pozyczki {splacona_cz,splacona,odmowa,windykacja,windykacja_sp} 
@attribute rodzaj_zr_dochodu {13,12,11,17,98,99,16,15}
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie {1,0,2,3,4,5,6} 
@attribute kwota_kredytu real
@attribute wiek numeric
@attribute plec {k,m}
@attribute okres_pobieral_dochod numeric
@attribute okres_bedzie_pobieral_dochod numeric
@attribute opoznienie_splaty numeric

@data
splacona_cz,11,983.97,0,200,57,k,75,48,0
splacona_cz,11,1344.9,1,300,45,k,43,48,4
splacona_cz,13,1107,0,400,60,k,12,48,0
splacona_cz,11,967.64,1,200,48,k,316,48,4
splacona_cz,11,2100,1,500,60,m,184,48,1
splacona_cz,13,722.05,1,200,71,k,194,48,0
splacona_cz,98,911,2,300,46,k,95,48,0
splacona_cz,12,1300,1,300,26,k,5,12,0
splacona_cz,12,1500,1,300,22,k,1,2,0
splacona_cz,11,1400,2,300,52,k,158,48,5
splacona,13,2547,0,600,80,m,192,48,0
splacona_cz,16,1528,0,300,58,m,372,48,6
splacona_cz,11,992.84,2,300,49,k,118,48,0
splacona_cz,13,1400,2,600,59,k,243,48,0
splacona,13,1294,0,250,70,k,120,48,0
splacona,99,1100,1,200,53,k,49,48,0
splacona,13,2800,1,800,54,m,147,48,0
splacona,13,1150,0,300,75,m,135,48,28
splacona,13,2040,1,300,63,m,141,48,14
splacona_cz,13,1125,0,400,65,k,122,48,0
splacona_cz,13,960,2,300,73,m,137,48,7
splacona,13,1374.08,0,300,64,m,69,48,1
splacona,11,2837,0,662.69,30,m,123,48,21
splacona_cz,13,1175,0,400,65,k,112,48,0
splacona_cz,16,1072.89,2,300,55,k,119,48,0
splacona,12,1042,1,300,49,m,2,2,12
splacona_cz,12,1382,1,200,37,k,18,23,0
splacona_cz,11,1037.34,2,200,41,k,59,48,0
splacona,13,1239.98,0,200,78,k,252,48,0
splacona_cz,98,2200,2,400,47,k,22,48,0
splacona_cz,13,1500,2,396.61,61,m,20,48,1
odmowa,11,2002,0,600,36,m,61,48,0
